보험가입연도,계약자_업종,계약자_소재지,계약자_기업규모,계약자_업력,취급종류,보험금액
2011,G46699,서울,중소기업, 2 ,어음보험,13000000 
2011,G46742,대구,중소기업, 5 ,매출채권보험,9000000 
2011,G46742,대구,중소기업, 5 ,매출채권보험,6000000 
2011,C10129,제주,중소기업, 2 ,매출채권보험,4000000 
2011,M72111,서울,중소기업, 12 ,매출채권보험,74000000 
2011,M72111,서울,중소기업, 12 ,매출채권보험,32000000 
2011,M72111,서울,중소기업, 12 ,매출채권보험,34000000 
2011,J61299,제주,중소기업, 3 ,매출채권보험,86000000 
2011,C29133,전남,중소기업, 14 ,어음보험,2000000 
2011,G46499,광주,중소기업, 18 ,매출채권보험,4000000 
2011,G46499,광주,중소기업, 18 ,매출채권보험,4000000 
2011,G46499,광주,중소기업, 18 ,매출채권보험,26000000 
2011,C17909,충남,중소기업, 10 ,어음보험,17000000 
2011,C22299,경기,중소기업, 11 ,어음보험,7000000 
2011,C17229,경기,중소기업, 14 ,매출채권보험,5000000 
2011,C18119,경북,중소기업, 9 ,매출채권보험,6000000 
2011,C18119,경북,중소기업, 9 ,매출채권보험,5000000 
2011,G46799,경북,중소기업, 16 ,어음보험,30000000 
2011,G46622,서울,중소기업, 8 ,어음보험,4000000 
2011,G46622,서울,중소기업, 8 ,어음보험,4000000 
2011,E38210,경북,중소기업, 6 ,매출채권보험,11000000 
2011,G46621,경기,중소기업, 4 ,어음보험,89000000 
2011,G46329,서울,중소기업, 2 ,매출채권보험,8000000 
2011,C25924,인천,중소기업, 5 ,어음보험,3000000 
2011,H52991,서울,중소기업, 6 ,매출채권보험,6000000 
2011,H52991,서울,중소기업, 6 ,매출채권보험,2000000 
2011,H52991,서울,중소기업, 6 ,매출채권보험,1000000 
2011,H52991,서울,중소기업, 6 ,매출채권보험,1000000 
2011,H52991,서울,중소기업, 6 ,매출채권보험,1000000 
2011,C26299,서울,중소기업, 5 ,매출채권보험,12000000 
2011,C29133,대구,중소기업, 24 ,어음보험,12000000 
2011,C14499,서울,중소기업, 17 ,어음보험,12000000 
2011,G46699,서울,중소기업, 22 ,매출채권보험,7000000 
2011,G46611,광주,중소기업, 11 ,어음보험,7000000 
2011,G46699,경기,중소기업, 12 ,어음보험,12000000 
2011,C29210,경남,중소기업, 11 ,매출채권보험,15000000 
2011,G46739,경기,중소기업, 9 ,어음보험,5000000 
2011,C29173,경기,중소기업, 4 ,매출채권보험,65000000 
2011,G46732,제주,중소기업, 6 ,매출채권보험,6000000 
2011,G46721,경기,중소기업, 2 ,매출채권보험,4000000 
2011,G46721,경기,중소기업, 2 ,매출채권보험,3000000 
2011,G46103,경기,중소기업, 5 ,매출채권보험,2000000 
2011,G46103,경기,중소기업, 5 ,매출채권보험,3000000 
2011,G46103,경기,중소기업, 5 ,매출채권보험,4000000 
2011,G46413,서울,중소기업, 2 ,매출채권보험,34000000 
2011,G46721,전북,중소기업, 17 ,어음보험,30000000 
2011,G46611,대구,중소기업, 16 ,어음보험,5000000 
2011,G46733,서울,중소기업, 12 ,매출채권보험,438000000 
2011,G46594,서울,중소기업, 10 ,매출채권보험,9000000 
2011,G46594,서울,중소기업, 10 ,매출채권보험,4000000 
2011,G46594,서울,중소기업, 10 ,매출채권보험,4000000 
2011,G46594,서울,중소기업, 10 ,매출채권보험,2000000 
2011,G46594,서울,중소기업, 10 ,매출채권보험,2000000 
2011,C30201,전북,중소기업, 4 ,어음보험,101000000 
2011,H52991,부산,중소기업, 4 ,매출채권보험,1000000 
2011,H52991,부산,중소기업, 4 ,매출채권보험,1000000 
2011,G46741,서울,중소기업, 2 ,매출채권보험,4000000 
2011,G46741,서울,중소기업, 2 ,매출채권보험,4000000 
2011,G46444,대전,중소기업, 6 ,어음보험,7000000 
2011,J61291,서울,중소기업, 2 ,매출채권보험,123000000 
2011,G46733,서울,중소기업, 5 ,매출채권보험,161000000 
2011,C29294,경북,중소기업, 10 ,매출채권보험,11000000 
