취급종류,구매자_업종,구매자_기업규모,구매자_소재지,계약자_업종,계약자_기업규모,계약자_소재지,인수일자,사고처리일자,사고사유,사고처리금액,사고정상해지금액,보상해지금액,보험금지급액,대위권원금회수금액,대위권발생일자,정상해지일자
매출채권보험,F42201,중소기업,전남,G46699,중소기업,대구,2013-04,2013-07,이행지체,80000000 ,57000000 ,23000000 ,23000000 ,1000000 , 2013-08 , 2013-08 
매출채권보험,G46510,중소기업,부산,G46510,중소기업,서울,2011-10,2012-11,이행지체,100000000 ,57000000 ,43000000 ,43000000 ,0 , 2013-02 , 2013-04 
매출채권보험,F42201,중소기업,경기,G46721,중소기업,경기,2012-03,2013-10,이행지체,12000000 ,0 ,12000000 ,12000000 ,0 , 2013-11 ,  
매출채권보험,C13402,중소기업,대구,G46731,중소기업,대구,2012-09,2012-12,이행지체,30000000 ,26000000 ,4000000 ,4000000 ,0 , 2013-01 , 2012-12 
매출채권보험,C13402,중소기업,대구,G46731,중소기업,대구,2011-09,2012-12,이행지체,30000000 ,0 ,30000000 ,30000000 ,0 , 2013-01 ,  
매출채권보험,C26299,중소기업,경남,C24221,중소기업,경기,2012-05,2013-02,이행지체,80000000 ,38000000 ,42000000 ,42000000 ,0 , 2013-04 , 2013-12 
매출채권보험,G46742,중소기업,서울,C13310,중소기업,d,2012-05,2013-04,폐업 · 해산등기,2000000 ,2000000 ,0 ,0 ,0 ,  , 2013-04 
매출채권보험,F41122,대기업,경남,C22191,중소기업,서울,2012-04,2013-05,회생절차 등,25000000 ,25000000 ,0 ,0 ,0 ,  , 2013-05 
매출채권보험,F41122,대기업,경남,C25112,중소기업,충남,2012-05,2013-05,회생절차 등,60000000 ,60000000 ,0 ,0 ,0 ,  , 2013-11 
매출채권보험,G46621,중소기업,서울,G46621,중소기업,서울,2012-05,2012-10,거래정지처분(예금부족),10000000 ,6000000 ,4000000 ,4000000 ,0 , 2013-03 , 2012-12 
매출채권보험,G46621,중소기업,서울,G46621,중소기업,경기,2012-05,2012-10,이행지체,80000000 ,79000000 ,1000000 ,1000000 ,0 , 2013-05 , 2013-04 
매출채권보험,G46621,중소기업,서울,C25941,중소기업,경기,2012-09,2012-10,거래정지처분(예금부족),30000000 ,23000000 ,7000000 ,7000000 ,0 , 2013-01 , 2013-07 
매출채권보험,G46621,중소기업,서울,C25941,중소기업,인천,2012-04,2012-10,이행지체,40000000 ,0 ,40000000 ,40000000 ,3000000 , 2013-01 ,  
매출채권보험,G46621,중소기업,서울,C29133,중소기업,충북,2012-02,2012-10,거래정지처분(예금부족),30000000 ,0 ,30000000 ,30000000 ,0 , 2013-01 ,  
매출채권보험,G46621,중소기업,서울,C29133,중소기업,인천,2012-03,2012-10,거래정지처분(예금부족),30000000 ,0 ,30000000 ,30000000 ,0 , 2013-01 ,  
매출채권보험,F42202,중소기업,서울,G46621,중소기업,서울,2012-04,2013-08,이행지체,30000000 ,30000000 ,0 ,0 ,0 ,  , 2013-10 
매출채권보험,F42202,중소기업,서울,G46721,중소기업,경기,2012-03,2013-10,이행지체,100000000 ,54000000 ,46000000 ,46000000 ,0 , 2013-11 , 2013-10 
매출채권보험,F42202,중소기업,서울,G46699,중소기업,서울,2012-09,2013-11,이행지체,50000000 ,0 ,50000000 ,50000000 ,0 , 2013-12 ,  
매출채권보험,F42202,중소기업,서울,G46621,중소기업,서울,2012-10,2013-09,이행지체,20000000 ,0 ,20000000 ,20000000 ,0 , 2013-10 ,  
매출채권보험,F42202,중소기업,서울,C22229,중소기업,경기,2013-05,2013-10,이행지체,35000000 ,19000000 ,16000000 ,16000000 ,0 , 2013-11 , 2013-11 
매출채권보험,F42202,중소기업,서울,G46621,중소기업,서울,2013-05,2013-09,이행지체,10000000 ,0 ,10000000 ,10000000 ,0 , 2013-12 ,  
매출채권보험,F42202,중소기업,서울,G46721,중소기업,경기,2013-04,2013-10,이행지체,50000000 ,0 ,50000000 ,50000000 ,0 , 2013-11 ,  
매출채권보험,F42202,중소기업,서울,C29133,중소기업,인천,2012-08,2013-09,이행지체,15000000 ,8000000 ,7000000 ,7000000 ,0 , 2013-10 , 2014-05 
매출채권보험,F42202,중소기업,서울,G46721,중소기업,경기,2012-11,2013-08,이행지체,50000000 ,20000000 ,30000000 ,30000000 ,0 , 2013-09 , 2014-04 
매출채권보험,F42202,중소기업,서울,G46621,중소기업,경기,2013-03,2013-08,이행지체,37000000 ,0 ,37000000 ,37000000 ,0 , 2013-08 ,  
매출채권보험,F42202,중소기업,서울,G46621,중소기업,경기,2013-03,2013-08,이행지체,30000000 ,0 ,30000000 ,30000000 ,0 , 2013-09 ,  
매출채권보험,F42202,중소기업,서울,C28519,중소기업,경기,2013-02,2013-08,이행지체,20000000 ,0 ,20000000 ,20000000 ,0 , 2013-10 ,  
매출채권보험,F42202,중소기업,서울,C22299,중소기업,경남,2013-04,2013-09,이행지체,25000000 ,0 ,25000000 ,25000000 ,0 , 2013-12 ,  
매출채권보험,C25913,중소기업,경기,C24199,중소기업,서울,2012-07,2013-03,이행지체,400000000 ,0 ,400000000 ,397000000 ,0 , 2013-04 ,  
매출채권보험,C25913,중소기업,경기,C24199,중소기업,경기,2012-08,2013-05,회생절차 등,160000000 ,2000000 ,158000000 ,158000000 ,0 , 2013-06 , 2013-06 
매출채권보험,C25913,중소기업,경기,C25913,중소기업,경기,2012-07,2013-03,이행지체,400000000 ,0 ,400000000 ,399000000 ,0 , 2013-04 ,  
매출채권보험,C25913,중소기업,경기,G46721,중소기업,경기,2012-08,2013-05,회생절차 등,160000000 ,35000000 ,125000000 ,125000000 ,0 , 2013-05 , 2013-06 
매출채권보험,C28302,중소기업,경기,C28302,중소기업,인천,2012-06,2012-12,이행지체,288000000 ,92000000 ,196000000 ,196000000 ,0 , 2013-01 , 2013-01 
매출채권보험,C28302,중소기업,경기,C24221,중소기업,경기,2012-06,2012-12,이행지체,312000000 ,0 ,312000000 ,312000000 ,0 , 2013-03 ,  
매출채권보험,C22250,중소기업,인천,G46733,중소기업,경기,2013-04,2013-09,거래정지처분(예금부족),200000000 ,0 ,200000000 ,200000000 ,0 , 2013-10 ,  
매출채권보험,C22250,중소기업,인천,C22240,중소기업,인천,2012-12,2013-09,거래정지처분(예금부족),10000000 ,0 ,10000000 ,10000000 ,0 , 2013-11 ,  
매출채권보험,C25113,중소기업,경남,G46721,중소기업,경남,2012-05,2012-12,이행지체,126000000 ,38000000 ,88000000 ,88000000 ,0 , 2013-01 , 2013-12 
매출채권보험,G46599,중소기업,경기,G46699,중소기업,서울,2011-10,2013-01,거래정지처분(예금부족),44000000 ,0 ,44000000 ,44000000 ,0 , 2013-05 , 2013-05 
매출채권보험,G46599,중소기업,경기,G46699,중소기업,서울,2012-11,2013-01,이행지체,160000000 ,48000000 ,112000000 ,112000000 ,0 , 2013-05 , 2013-06 
매출채권보험,G46599,중소기업,경기,G46721,중소기업,경기,2011-10,2013-01,거래정지처분(예금부족),88000000 ,18000000 ,70000000 ,70000000 ,0 , 2013-02 , 2013-02 
매출채권보험,G46599,중소기업,경기,C29194,중소기업,경기,2011-05,2013-01,이행지체,401000000 ,391000000 ,10000000 ,10000000 ,0 , 2013-02 , 2013-02 
매출채권보험,G46599,중소기업,경기,C29133,중소기업,경기,2012-02,2013-01,거래정지처분(예금부족),60000000 ,13000000 ,47000000 ,47000000 ,0 , 2013-03 , 2013-12 
매출채권보험,G46599,중소기업,경기,C25112,중소기업,충북,2011-11,2013-01,이행지체,66000000 ,24000000 ,41000000 ,41000000 ,0 , 2013-02 , 2013-01 
